Circle, Position (x y), Radius (px)
1 , (339 644), 0.00
2 , (339 646), 0.00
3 , (340 642), 0.00
4 , (340 643), 0.00
5 , (340 647), 0.00
6 , (340 648), 0.00
7 , (341 640), 0.00
8 , (341 641), 0.00
9 , (342 640), 0.00
10 , (342 650), 0.00
11 , (343 639), 0.00
12 , (347 639), 0.00
13 , (348 640), 0.00
14 , (349 650), 0.00
15 , (349 640), 0.00
16 , (350 649), 0.00
17 , (350 648), 0.00
18 , (350 642), 0.00
19 , (350 641), 0.00
20 , (351 647), 0.00
21 , (351 643), 0.00
