Circle, Position (x y), Radius (px)
1 , (373 440), 0.00
2 , (373 445), 0.00
3 , (374 438), 0.00
4 , (374 439), 0.00
5 , (374 446), 0.00
6 , (374 447), 0.00
7 , (375 436), 0.00
8 , (375 437), 0.00
9 , (375 448), 0.00
10 , (375 449), 0.00
11 , (376 450), 0.00
12 , (376 451), 0.00
13 , (377 452), 0.00
14 , (378 452), 0.00
15 , (379 432), 0.00
16 , (379 453), 0.00
17 , (380 432), 0.00
18 , (380 453), 0.00
19 , (381 431), 0.00
20 , (381 454), 0.00
21 , (383 431), 0.00
22 , (384 430), 0.00
23 , (387 430), 0.00
24 , (388 431), 0.00
25 , (390 454), 0.00
26 , (390 431), 0.00
27 , (391 453), 0.00
28 , (391 432), 0.00
29 , (392 453), 0.00
30 , (392 432), 0.00
31 , (395 436), 0.00
32 , (395 435), 0.00
33 , (396 449), 0.00
34 , (396 447), 0.00
35 , (396 438), 0.00
36 , (396 437), 0.00
37 , (397 446), 0.00
38 , (397 439), 0.00
