Circle, Position (x y), Radius (px)
1 , (293 423), 0.00
2 , (293 427), 0.00
3 , (294 421), 0.00
4 , (294 422), 0.00
5 , (294 428), 0.00
6 , (294 429), 0.00
7 , (295 420), 0.00
8 , (295 430), 0.00
9 , (296 420), 0.00
10 , (297 419), 0.00
11 , (297 430), 0.00
12 , (298 431), 0.00
13 , (300 431), 0.00
14 , (301 430), 0.00
15 , (301 419), 0.00
16 , (302 420), 0.00
17 , (303 430), 0.00
18 , (303 420), 0.00
19 , (304 429), 0.00
20 , (304 427), 0.00
21 , (304 423), 0.00
22 , (304 421), 0.00
23 , (305 426), 0.00
24 , (305 424), 0.00
