Circle, Position (x y), Radius (px)
1 , (335 468), 0.00
2 , (335 474), 0.00
3 , (336 466), 0.00
4 , (336 467), 0.00
5 , (336 475), 0.00
6 , (336 476), 0.00
7 , (339 463), 0.00
8 , (339 479), 0.00
9 , (340 463), 0.00
10 , (341 462), 0.00
11 , (342 479), 0.00
12 , (343 480), 0.00
13 , (345 480), 0.00
14 , (346 479), 0.00
15 , (347 462), 0.00
16 , (348 463), 0.00
17 , (349 479), 0.00
18 , (349 463), 0.00
19 , (352 476), 0.00
20 , (352 473), 0.00
21 , (352 469), 0.00
22 , (352 466), 0.00
23 , (353 472), 0.00
24 , (353 470), 0.00
